Date,EUR Curncy,DXY Curncy,GOLDS Comdty,USGG2YR Index,USGG5YR Index,USGG10YR Index,USGG30YR Index,GTEUR10Y Govt,GTEUR30Y Govt,CPI YOY Index,EACPI Index,FEDL01 Index,ECBRON Index,GDP CYOY Index,EHGDEUY Index,GOLDS Comdty,SPX Index,SX5E Index,UKX Index,CAC Index,DAX Index,Return
1/15/1996,1.3291,85.31,396,5.164,5.431,5.737,6.148,5.881,6.671,2.5,70.85,5.5,2.19,2.2,2.5,396,599.82,1533.84,3662.7,1924.4,2359.05,-0.0067715
1/16/1996,1.3201,85.99,398.6,5.045,5.322,5.627,6.057,5.824,6.615,2.5,70.85,5.84,2.19,2.2,2.5,398.6,608.44,1549.09,3710.6,1952.1,2376.87,-0.004166351
1/17/1996,1.3146,86.26,399.8,5.036,5.293,5.575,6.01,5.854,6.632,2.5,70.85,5.91,2.19,2.2,2.5,399.8,606.37,1558.37,3704.2,1966,2371.3,-0.003194888
1/18/1996,1.3104,86.44,397.5,5.01,5.25,5.524,5.985,5.798,6.596,2.5,70.85,5.51,2.19,2.2,2.5,397.5,608.24,1563.18,3748.7,1960.06,2380.9,-0.006105006
1/19/1996,1.3024,86.75,399.8,5.026,5.267,5.528,5.973,5.831,6.612,2.5,70.85,5.4,2.19,2.2,2.5,399.8,611.83,1577.92,3748.4,1964.28,2398.76,0.001612408
1/22/1996,1.3045,86.73,403.6,5.094,5.35,5.61,6.043,5.834,6.61,2.5,70.85,5.46,2.19,2.2,2.5,403.6,613.4,1576.04,3754.2,1954.42,2390.53,-0.001303181
1/23/1996,1.3028,86.83,403.5,5.094,5.379,5.655,6.093,5.838,6.619,2.5,70.85,5.44,2.19,2.2,2.5,403.5,612.79,1565.5,3735,1934.08,2384.47,-0.001995702
1/24/1996,1.3002,87.19,403.65,5.058,5.332,5.614,6.036,5.798,6.581,2.5,70.85,5.5,2.19,2.2,2.5,403.65,619.96,1586.43,3758.2,1945.97,2423.07,0.000769112
1/25/1996,1.3012,87.42,406.85,5.117,5.409,5.693,6.113,5.829,6.61,2.5,70.85,5.56,2.19,2.2,2.5,406.85,617.03,1593.03,3734.2,1950.19,2443.72,-0.009145404
1/26/1996,1.2893,87.64,406.2,5.05,5.333,5.634,6.044,5.901,6.676,2.5,70.85,5.51,2.19,2.2,2.5,406.2,621.62,1599.87,3734.7,1966.73,2432.93,0.003490266
1/29/1996,1.2938,87.41,406.3,5.075,5.38,5.684,6.093,5.936,6.707,2.5,70.85,5.53,2.19,2.2,2.5,406.3,624.22,1605.08,3734.6,1980.68,2446.05,-0.001932292
1/30/1996,1.2913,87.59,404.7,5,5.297,5.616,6.036,5.879,6.674,2.5,70.85,5.37,2.19,2.2,2.5,404.7,630.15,1603.77,3735.3,2003.13,2435.79,0.00232324
1/31/1996,1.2943,87.38,406.3,4.925,5.236,5.58,6.028,5.896,6.701,2.7,70.97,5.71,2.14,2.2,2.5,406.3,636.02,1611.05,3759.3,2021.03,2470.14,-0.001777022
2/1/1996,1.292,87.18,411.6,4.909,5.222,5.597,6.07,5.889,6.675,2.7,70.97,5.27,2.14,2.2,2.5,411.6,638.46,1608.78,3752.8,2024.09,2459.26,0.003637771
2/2/1996,1.2967,87.01,415.5,4.908,5.261,5.667,6.163,5.961,6.779,2.7,70.97,5.23,2.14,2.2,2.5,415.5,635.84,1610.54,3781.3,2022.21,2452.06,0.010102568
2/5/1996,1.3098,86.23,413.95,4.933,5.297,5.69,6.158,6.07,6.939,2.7,70.97,5.23,2.14,2.2,2.5,413.95,641.43,1590.69,3746.6,1985.59,2419.01,-0.00091617
2/6/1996,1.3086,86.41,412.4,4.907,5.265,5.655,6.13,6.102,6.955,2.7,70.97,5.16,2.14,2.2,2.5,412.4,646.33,1594.11,3747.5,1988.47,2428.28,-0.003515207
2/7/1996,1.304,86.65,409.2,4.907,5.272,5.669,6.155,6.043,6.891,2.7,70.97,5.13,2.14,2.2,2.5,409.2,649.93,1594.51,3726.1,1983.29,2446.16,0
2/8/1996,1.304,86.8,409.3,4.89,5.246,5.654,6.147,6.084,6.925,2.7,70.97,5.18,2.14,2.2,2.5,409.3,656.07,1586.24,3708.4,1956.16,2430.2,0.000383436
