,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Today_Return,Predict_Return,SMA,EMA,RSI,MACD,ROC,Bollinger_Bands_lower,Bollinger_Bands_upper,CCI
87,7/17/1980,1.4928,1.4928,1.4928,1.4928,0.005099999999999882,-0.007799999999999807,1.4892299999999998,1.472352165153216,64.61538461538458,0.005075127901753795,0.0034281105061503545,1.4638665396983126,1.4984334603016873,95.86504834396351
88,7/18/1980,1.485,1.485,1.485,1.485,-0.007799999999999807,0.0046999999999999265,1.48963,1.471413987262856,48.09160305343503,0.0035056380985758473,-0.0052250803858519615,1.4651431750473047,1.498556824952695,26.969178082193455
89,7/21/1980,1.4897,1.4897,1.4897,1.4897,0.0046999999999999265,0.0030999999999998806,1.48966,1.4737005564053085,48.09160305343503,0.0050081311059488876,0.0031649831649831154,1.4662830173085202,1.4991569826914795,61.11013832954092
90,7/22/1980,1.4928,1.4928,1.4928,1.4928,0.0030999999999998806,-0.0008999999999999009,1.4895299999999998,1.4743413148413538,45.24495677233423,0.006751283739459213,0.002080955897160422,1.4678674735874375,1.4998125264125621,82.06631251144908
91,7/23/1980,1.4919,1.4919,1.4919,1.4919,-0.0008999999999999009,0.0038000000000000256,1.4894899999999998,1.475368138704872,46.76098287416251,0.0063586934890624836,-0.0006028938906751747,1.4697881914743884,1.5000218085256114,69.60025870003274
92,7/24/1980,1.4957,1.4957,1.4957,1.4957,0.0038000000000000256,-0.0024999999999999467,1.4900099999999998,1.4761654665987987,51.78691840863153,0.006602292687853284,0.0025470876064079533,1.471523318559617,1.5006666814403828,101.43626570915693
93,7/25/1980,1.4932,1.4932,1.4932,1.4932,-0.0024999999999999467,-0.0024000000000001798,1.49025,1.476495239541549,51.44005358338954,0.005977388925243021,-0.0016714581801162978,1.4737235325066542,1.5005564674933456,71.31928916088202
94,7/28/1980,1.4908,1.4908,1.4908,1.4908,-0.0024000000000001798,-0.010199999999999987,1.49048,1.4766232531319912,53.03867403314904,0.005363143763460476,-0.001607286364854125,1.475896775792775,1.500053224207225,38.52053860575923
95,7/29/1980,1.4806,1.4806,1.4806,1.4806,-0.010199999999999987,-0.01089999999999991,1.4900200000000001,1.4765356654476003,46.72635702294324,0.004065463010117121,-0.00684196404614971,1.4773221534962384,1.4992378465037617,-113.96349606766832
96,7/30/1980,1.4697,1.4697,1.4697,1.4697,-0.01089999999999991,-0.009200000000000097,1.48822,1.4778235408206724,40.06908462866996,0.0017308548986680883,-0.007361880318789619,1.4751646717015987,1.5006753282984016,-244.85956188684503
97,7/31/1980,1.4605,1.4605,1.4605,1.4605,-0.009200000000000097,-0.007399999999999851,1.48499,1.4771983059546765,39.12310286677873,-0.00025638861548471503,-0.006259780907668298,1.4702201332154454,1.5039998667845544,-292.1286639587222
98,8/1/1980,1.4531,1.4531,1.4531,1.4531,-0.007399999999999851,0.0043999999999999595,1.4818000000000002,1.4771191891644675,35.69844789356961,-0.0019309106111289331,-0.005066757959602774,1.4633240844314037,1.508105915568596,-270.9224571167484
99,8/4/1980,1.4575,1.4575,1.4575,1.4575,0.0043999999999999595,0.006799999999999917,1.4785799999999998,1.4780004593149603,39.75069252077565,-0.004754296887733878,0.003028009084027224,1.458670473481811,1.5095695265181888,-178.77770315647777
